NR_INWENT,C,50;NAZWA,C,200;REGION,C,254;GMINA,C,100;WLASCICIEL,C,254;DLUGOSC,N,19,4;GLEBOKOSC,N,19,4;PRZEWYZSZE,N,19,4;DENIWELACJ,N,19,4;OSUWISKOWA,N,5,0;X_1992,N,19,4;Y_1992,N,19,4;ID,N,10,0
T.D-12.05;Jaskinia Błotna;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;28;2,7;2,7;0;0;566477,45;153694;1213
T.D-14.03;Jaskinia Zawaliskowa w Długim Giewoncie;Tatry;Zakopane (gm. miejska);Skarb Państwa;51;4,9;6,6;1,7;0;568493,32;154275,13;1215
T.B-13.01;Schron za Irgą;Tatry;Zakopane (gm. miejska);Skarb Państwa;4;0;0;0;0;567615,06;156094,57;1017
G-5.6;Schronisko Górne nad Starym Piekłem;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);4;1;1;0;0;592489,5204;330763,1017;857
T.E-08.66;Schron pod Zbójnicką Turnią;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6,5;1,4;1,4;0;0;563131,35;152624,34;1043
T.B-10.03;Szczelina Przysłopczańska;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;17;12,5;12,5;0;0;564552,19;155432,38;993
G-8Ex;Jaskinia w Laskowej I;Region Świętokrzyski;Kielce (gm. miejska);Prywatny;170;15;18,5;3,5;0;608611,91;336171,85;922
T.D-17.03;Jaskinia Korytarzowa;Tatry;Zakopane (gm. miejska);Skarb Państwa;18;0;0;0;0;571502,98;154343,69;1072
K.Bż-05.32;Ucho Igielne;Karpaty;Zawoja (gm. wiejska);Skarb Państwa (Lasy Państwowe);7,5;0;0;0;1;546553,03;196259,54;10157
J.Olk.I-01.02;Schronisko na Skraju Jury;Wyżyna Śląsko-Krakowska;Gołcza (gm. wiejska);Prywatny;25,6;2;2;0;0;563378,13;272724,21;10880
J.Olk.I-01.34;Jaskinia ze Świetlikiem;Wyżyna Śląsko-Krakowska;Gołcza (gm. wiejska);Prywatny;24,5;3;3;0;0;566550,72;267577,87;10912
G-1.41;Schronisko Pustułek;Region Świętokrzyski;Piekoszów (gm. wiejska);Skarb Państwa;6,5;0;0;0;0;605183,6878;333691,8051;819
K.Bż-05.33;Jaskinia Krupowa na Okrąglicy;Karpaty;Bystra-Sidzina (gm. wiejska);Skarb Państwa (Lasy Państwowe);18;3;3;0;1;547293,45;195751,56;10158
N-28Ex;Schronisko Małe (N-2.8);Niecka Nidziańska;Pińczów (gm. miejsko-wiejska);Prywatny;4;1;1;0;0;613931,8609;290010,8626;802
N-2.77;Jaskinia w Śladkowie Dużym;Niecka Nidziańska;Chmielnik (gm. miejsko-wiejska);Komunalny;10,7;0;0;0;0;621064,5765;303051,8275;776
N-2.62;Jaskinia Półkolista;Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);Komunalny;58;1;1;0;0;620100,8115;288387,0553;755
N-2.58;Dwie Studnie;Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);Komunalny;31;3,5;3,5;0;0;620025,4721;288230,8836;722
G-1.36;Schronisko nad Chelosiową Jamą;Region Świętokrzyski;Piekoszów (gm. wiejska);Skarb Państwa;4;2;2;0;0;605499,5055;333543,7551;814
G-7.8;Grota Skrzatów;Region Świętokrzyski;Brody (gm. wiejska);Skarb Państwa (Lasy Państwowe);3;0;0;0;0;653280,8537;350586,7618;881
N-2.63;Jaskinia w Siesławicach;Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);Komunalny;21;5;5;0;0;620180,369;288357,977;756
N-2.54;Jaskinia pod Wygódką;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Prywatny;12;0;1,5;1,5;0;619512,4708;282977,2037;749
N-2.80;Grota Szydły II;Niecka Nidziańska;Szydłów (gm. wiejska);Komunalny;8,5;0;0;0;0;641566,17;304368,22;779
G-2.9;Schronisko Mechate;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Skarb Państwa;2;0;0;0;0;602853,7868;328919,015;829
N-2.74;Schronisko w Grodzisku;Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);Prywatny;6;0;0;0;0;627929,7596;287644,4261;771
N-2.61;Jaskinia Szeroka;Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);Komunalny;48;1,5;3;1,5;0;620023,3635;288323,5092;754
N-2.46;Jaskinia Flisa;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Prywatny;71;2;5;3;0;619315,4072;282994,2041;742
N-27Ex;Sołecka Studnia w Gackach (N-2.6);Niecka Nidziańska;Pińczów (gm. miejsko-wiejska);Prywatny;6,3;6,3;6,3;0;0;613520,2513;288982,6139;801
N-14Ex;Jaskinia w Sielcu;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);;0;0;0;0;0;618233,9941;279263,0318;787
G-2.27;Jaskinia Psia;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Skarb Państwa;16,5;4;4;0;0;595913,7752;331751,7802;846
T.E-07.02;Suchy Biwak;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;70;0;7,4;7,4;0;561357,6;153158,73;1285
G-1.38;Lisia Jama w Jaworzni;Region Świętokrzyski;Piekoszów (gm. wiejska);Skarb Państwa;3;0;0;0;0;605281,4013;333693,784;816
G-7.1;Schronisko pod Wodospadem;Region Świętokrzyski;Bodzechów (gm. wiejska);Prywatny;3;0;1;1;0;666035,9452;337752,7144;874
G-5.5;Stare Piekło;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);6;0;0;0;0;592489,5204;330763,1017;856
N-2.64;Schronisko Wschodnie w Siesławicach;Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);Komunalny;3;0;0;0;0;620200,0825;288358,4264;757
K.Bn-05.31;Schronisko z Grzybem;Karpaty;Sękowa (gm. wiejska);Skarb Państwa (Lasy Państwowe);5;0;1;1;1;668335;193263,24;10845
N-2.36;Schronisko w Skorocicach pod Drogą Zachodnie;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Skarb Państwa;13;1;3,5;2,5;0;618680,36;284895,12;735
G-2.23;Jaskinia Południowa na Miedziance;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Skarb Państwa;12,5;0;0;0;0;595597,01;331962,17;842
N-2.78;Schronisko w Śladkowie Małym;Niecka Nidziańska;Chmielnik (gm. miejsko-wiejska);Prywatny;10;0;1,5;1,5;0;623826,97;302683,79;777
T.E-11.30;Śnieżny Awen;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;9,5;6,5;6,5;0;0;565642,13;152962,18;1523
K.Bs-04.85;Salmopolski Schron IV;Karpaty;Brenna (gm. wiejska);Skarb Państwa (Lasy Państwowe);2,5;0;0;0;1;496921,77;199796,19;10257
T.E-04.02;Jaskinia Kokonowa;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;12;5,5;5,5;0;0;558496,93;153176,73;10865
T.E-12.23;Jaskinia Trójkątna;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;10;3,5;3,5;0;0;566961,45;153346,94;1558
T.E-11.46;Jaskinia za Zaciskiem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;22;3,7;8;4,3;0;565507,28;152958,61;1509
T.E-13.04;Zaspałkowa Szczelina;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;10;5;5;0;0;567509,69;152759,66;1577
T.E-13.14;Jaskinia za Mnichem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;12;0;4;4;0;567458,23;153527,52;1605
T.E-11.35;Schron pod Twardymi Spadami;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;2,5;0;0;0;0;565557,24;152959,93;1529
T.E-11.32;Schron w Progu Mułowym;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;11;0;3,4;3,4;0;565768,06;152925,52;1526
T.E-12.47;Studnia na Szlaku;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;11;11;11;0;0;566491,03;153369,48;1587
T.E-12.58;Jaskinia Zośka;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;416;84;93;9;0;566551,48;153456,89;1603
J.Olk.I-06.74;Okap z Krzakiem;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;2,3;0;0;0;0;554115,1335;254595,3876;2001
T.E-11.59;Schron w Dolinie Litworowej;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4;0;0;0;0;566292,09;152954,38;1532
T.E-12.57;Zagonna Studnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;70;52;52;0;0;566560,0833;153464,4032;1604
T.E-11.58;Wciągająca Szczelina;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6,8;3;3;0;0;566267,52;152938,73;1531
T.E-12.24;Awen w Ratuszu;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;22;11;11;0;0;566740;153245;1559
T.E-12.02;Niebieska Studnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;75;42;42;0;0;566510,52;153200,06;1533
T.E-12.18;Nyża pod Ratuszem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4;0;0;0;0;566724,06;153440,62;1553
T.E-11.19;Schron z Balkonem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;10;2,5;6;3,5;0;565573,82;152710,47;1498
T.E-11.47;Jaskinia za Ratuszem Śnieżna;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;11;2,9;2,9;0;0;566209,91;153227,1;1510
T.E-07.44;Szczelina przy Bańdziochu;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;2,8;0;3,2;3,2;0;561819,39;153310,89;1350
T.E-13.08;Koprowa Studnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;90;47;47;0;0;567702,5;152846,32;1590
T.E-12.51;Szczelina w Pośredniej Turni;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3,5;1,5;1,5;0;0;566687,28;153319,7;1593
J.BK-02.27;Kawerna Winnica II;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Komunalny;230;0;0;0;0;561450,3314;239697,3803;2111
T.E-11.20;Dziura w Progu Litworowym;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;10,5;0;1;1;0;565943,63;153090,11;1499
T.E-12.07;Jaskinia Małołącka;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;258;166;166;0;0;567076,94;152760,22;1537
T.E-12.49;Jaskinia w Kobylarzowym Żlebie;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6;0;4,5;4,5;0;566450,42;153393,4;1589
T.E-12.27;Królicza Jama;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;29;10;10;0;0;566982,73;152885,06;1562
T.E-12.03;Jaskinia pod Wantą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;520;158;172;14;0;566324,49;152969,1;1535
T.E-12.12;Jaskinia Wyżnia Litworowa;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;61;35;35;0;0;566625,57;152818,25;1547
T.E-12.50;Szara Studnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;125;50;50;0;0;566386,1;153359,18;1591
T.E-12.59;Zawalony Schron;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;8;0;0;0;0;566447,06;153499,78;1607
T.E-11.25;Jasiowa Dziura;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;40;25;25;0;0;565515,15;153038,79;1506
